Town,Farm,Period,date,GLM,n_mice,month,year,TN
Walpeup,MRS,OLD,16/05/1986,1,10,5,1986,315
Walpeup,MRS,OLD,16/05/1986,2,19,5,1986,288
Walpeup,MRS,OLD,11/06/1986,1,1,6,1986,210
Walpeup,MRS,OLD,11/06/1986,2,7,6,1986,144
Walpeup,MRS,OLD,26/06/1986,1,5,6,1986,315
Walpeup,MRS,OLD,26/06/1986,2,6,6,1986,432
Walpeup,MRS,OLD,24/07/1986,1,0,7,1986,210
Walpeup,MRS,OLD,24/07/1986,2,8,7,1986,288
Walpeup,MRS,OLD,2/08/1986,1,10,8,1986,210
Walpeup,MRS,OLD,2/08/1986,2,5,8,1986,342
Walpeup,MRS,OLD,2/09/1986,1,14,9,1986,210
Walpeup,MRS,OLD,2/09/1986,2,6,9,1986,144
Walpeup,MRS,OLD,23/09/1986,1,7,9,1986,210
Walpeup,MRS,OLD,23/09/1986,2,7,9,1986,288
Walpeup,MRS,OLD,15/10/1986,1,10,10,1986,210
Walpeup,MRS,OLD,15/10/1986,2,4,10,1986,144
Walpeup,MRS,OLD,29/10/1986,1,12,10,1986,210
Walpeup,MRS,OLD,29/10/1986,2,7,10,1986,288
Walpeup,MRS,OLD,25/11/1986,1,25,11,1986,210
Walpeup,MRS,OLD,25/11/1986,2,13,11,1986,288
Walpeup,MRS,OLD,9/12/1986,1,13,12,1986,210
Walpeup,MRS,OLD,9/12/1986,2,10,12,1986,288
Walpeup,MRS,OLD,30/12/1986,1,10,12,1986,210
Walpeup,MRS,OLD,30/12/1986,2,34,12,1986,288
Walpeup,MRS,OLD,15/01/1987,1,16,1,1987,210
Walpeup,MRS,OLD,15/01/1987,2,15,1,1987,288
Walpeup,MRS,OLD,4/02/1987,1,20,2,1987,210
Walpeup,MRS,OLD,4/02/1987,2,33,2,1987,288
Walpeup,MRS,OLD,6/03/1987,1,35,3,1987,210
Walpeup,MRS,OLD,6/03/1987,2,45,3,1987,288
Walpeup,MRS,OLD,1/04/1987,1,20,4,1987,210
Walpeup,MRS,OLD,1/04/1987,2,101,4,1987,288
Walpeup,MRS,OLD,10/04/1987,1,9,4,1987,520
Walpeup,MRS,OLD,10/04/1987,2,69,4,1987,142
Walpeup,MRS,OLD,5/05/1987,1,20,5,1987,280
Walpeup,MRS,OLD,5/05/1987,2,142,5,1987,288
Walpeup,MRS,OLD,29/05/1987,1,142,5,1987,315
Walpeup,MRS,OLD,29/05/1987,2,113,5,1987,428
Walpeup,MRS,OLD,17/06/1987,1,130,6,1987,210
Walpeup,MRS,OLD,17/06/1987,2,127,6,1987,315
Walpeup,MRS,OLD,9/07/1987,1,94,7,1987,210
Walpeup,MRS,OLD,9/07/1987,2,107,7,1987,315
Walpeup,MRS,OLD,22/07/1987,1,49,7,1987,210
Walpeup,MRS,OLD,22/07/1987,2,60,7,1987,210
Walpeup,MRS,OLD,31/07/1987,1,47,7,1987,105
Walpeup,MRS,OLD,31/07/1987,2,49,7,1987,105
Walpeup,MRS,OLD,18/08/1987,1,173,8,1987,210
Walpeup,MRS,OLD,18/08/1987,2,120,8,1987,315
Walpeup,MRS,OLD,8/09/1987,1,132,9,1987,210
Walpeup,MRS,OLD,8/09/1987,2,108,9,1987,315
Walpeup,MRS,OLD,28/09/1987,1,120,9,1987,210
Walpeup,MRS,OLD,28/09/1987,2,68,9,1987,315
Walpeup,MRS,OLD,21/10/1987,1,35,10,1987,210
Walpeup,MRS,OLD,21/10/1987,2,30,10,1987,210
Walpeup,MRS,OLD,2/11/1987,1,18,11,1987,210
Walpeup,MRS,OLD,2/11/1987,2,39,11,1987,210
Walpeup,MRS,OLD,24/11/1987,1,73,11,1987,210
Walpeup,MRS,OLD,24/11/1987,2,64,11,1987,315
Walpeup,MRS,OLD,15/12/1987,1,55,12,1987,315
Walpeup,MRS,OLD,15/12/1987,2,136,12,1987,315
Walpeup,MRS,OLD,5/01/1988,1,49,1,1988,315
Walpeup,MRS,OLD,5/01/1988,2,148,1,1988,315
Walpeup,MRS,OLD,29/01/1988,1,38,1,1988,315
Walpeup,MRS,OLD,29/01/1988,2,133,1,1988,210
Walpeup,MRS,OLD,11/03/1988,1,73,3,1988,180
Walpeup,MRS,OLD,11/03/1988,2,200,3,1988,105
Walpeup,MRS,OLD,7/04/1988,1,39,4,1988,315
Walpeup,MRS,OLD,7/04/1988,2,173,4,1988,210
Walpeup,MRS,OLD,5/05/1988,1,67,5,1988,210
Walpeup,MRS,OLD,5/05/1988,2,222,5,1988,105
Walpeup,MRS,OLD,7/06/1988,1,115,6,1988,315
Walpeup,MRS,OLD,7/06/1988,2,141,6,1988,630
Walpeup,MRS,OLD,12/07/1988,1,11,7,1988,735
Walpeup,MRS,OLD,12/07/1988,2,21,7,1988,210
Walpeup,MRS,OLD,9/08/1988,1,2,8,1988,315
Walpeup,MRS,OLD,9/08/1988,2,5,8,1988,210
Walpeup,MRS,OLD,6/09/1988,1,4,9,1988,315
Walpeup,MRS,OLD,6/09/1988,2,3,9,1988,105
Walpeup,MRS,OLD,4/10/1988,1,0,10,1988,210
Walpeup,MRS,OLD,4/10/1988,2,1,10,1988,105
Walpeup,MRS,OLD,14/12/1988,1,1,12,1988,35
Walpeup,MRS,OLD,14/12/1988,2,3,12,1988,315
Walpeup,MRS,OLD,8/02/1989,1,3,2,1989,315
Walpeup,MRS,OLD,8/02/1989,2,3,2,1989,210
Walpeup,MRS,OLD,7/06/1990,1,2,6,1990,315
Walpeup,MRS,OLD,7/06/1990,2,9,6,1990,210
Walpeup,Pole,OLD,21/10/1992,1,13,10,1992,156
Walpeup,Pole,OLD,21/10/1992,2,0,10,1992,150
Walpeup,Pole,OLD,28/12/1992,1,28,12,1992,225
Walpeup,Pole,OLD,28/12/1992,2,21,12,1992,150
Walpeup,Pole,OLD,4/03/1993,1,20,3,1993,225
Walpeup,Pole,OLD,4/03/1993,2,34,3,1993,150
Walpeup,Pole,OLD,4/04/1993,1,24,4,1993,225
Walpeup,Pole,OLD,4/04/1993,2,32,4,1993,100
Walpeup,Pole,OLD,4/05/1993,1,20,5,1993,80
Walpeup,Pole,OLD,4/05/1993,2,27,5,1993,100
Walpeup,Pole,OLD,7/09/1993,1,146,9,1993,80
Walpeup,Pole,OLD,7/09/1993,2,78,9,1993,216
Walpeup,Pole,OLD,6/10/1993,1,85,10,1993,90
Walpeup,Pole,OLD,6/10/1993,2,55,10,1993,216
Walpeup,Pole,OLD,2/11/1993,1,99,11,1993,90
Walpeup,Pole,OLD,2/11/1993,2,50,11,1993,216
Walpeup,Pole,OLD,7/12/1993,1,87,12,1993,90
Walpeup,Pole,OLD,7/12/1993,2,49,12,1993,216
Walpeup,Pole,OLD,5/01/1994,1,136,1,1994,90
