region,site,subsite,longitude,latitude,date_set,date_recovered,crop_type,crop_stage,biomass_comments,burrow_effort,burrow_total,burrow_comments
Northern Mallee,Jack Pryse,JPryse,141.948382,-35.152942,2013-03-14,2013-03-15,rye,stubble,NA,100,0,"no cracks, no sign of mice, sheep in paddock"
Northern Mallee,Jim Wakefield,JWA TGCrop,142.021747,-35.098249,2013-03-14,2013-03-15,wheat,stubble,NA,100,0,"Soil soft sandy no cracks, no sign of mice"
Northern Mallee,Jim Wakefield,JWAF1Crop,142.021747,-35.098249,2013-03-14,2013-03-15,fence line,NA,NA,100,0,"Soft sandy soil along fence, no sign of mouse activity"
Northern Mallee,Jim Wakefield,JWAF2Scrub,142.021747,-35.098249,2013-03-14,2013-03-15,fence line,NA,NA,100,0,"Soft sandy soil along fence line, no sign of mouse activity"
Northern Mallee,Jim Wakefield,JWB TGCrop,142.021747,-35.098249,2013-03-14,2013-03-15,peas,stubble,NA,100,0,"Soil soft sandy, no cracks, lots of peas on the ground, no sign of mice."
Northern Mallee,Ken McDonald,KMcD,141.598449,-35.200863,2013-03-14,2013-03-15,wheat,stubble,NA,100,0,sandy soil no sign of mouse activity
Northern Mallee,Kieran Hayter,KHayt,141.710731,-35.181655,2013-03-14,2013-03-15,wheat,stubble,NA,100,0,Soil sandy no sign of mouse activity
Northern Mallee,Robert McKee,RMcK,141.363881,-35.262963,2013-03-14,2013-03-15,wheat,stubble,NA,100,0,No sign of any mouse activity
Northern Mallee,Sam Parker,SPark,141.49689,-35.213419,2013-03-14,2013-03-15,wheat,stubble,NA,100,0,Two potential burrows marked but no sign of activity
Northern Mallee,Trent Oakley,TOak,140.984085,-35.233253,2013-03-14,2013-03-15,wheat,stubble,NA,100,0,no sign of mouse activity
Adelaide Plains,Brett Roberts LP,BRA,138.3706,-34.31261,2013-03-17,2013-03-18,canola,stubble,NA,100,0,Lots of inactive burrows in the area but none fell within the transect
Adelaide Plains,Brett Roberts LP,BRB,138.3706,-34.31261,2013-03-17,2013-03-18,wheat,stubble,NA,100,0,1 burrow marked but not active
Adelaide Plains,Brett Roberts WHP,BRC,138.25932,-34.34258,2013-03-17,2013-03-18,barley,stubble,NA,100,0,no sign of any mouse activity
Adelaide Plains,John Lush C,JLC,138.571,-34.39651,2013-03-17,2013-03-18,wheat,stubble,NA,100,1,8 burrows marked 1 burrow recorded active
Adelaide Plains,John Lush HB,JLHB,138.69579,-34.35089,2013-03-17,2013-03-18,wheat,stubble,NA,100,0,no sign of any mouse activity
Adelaide Plains,John Lush M,JLA TG,138.59047,-34.37682,2013-03-17,2013-03-18,canola,stubble,NA,100,0,5 burrows marked no active burrows recorded
Adelaide Plains,John Lush M,JLAF1Scrub,138.59047,-34.37682,2013-03-17,2013-03-18,fence line,NA,NA,100,0,No sign of mouse activity
Adelaide Plains,John Lush M,JLB TG,138.59047,-34.37682,2013-03-17,2013-03-18,canola,stubble,NA,100,0,No sign of mice
Adelaide Plains,John Lush M,JLBF2Crop,138.59047,-34.37682,2013-03-17,2013-03-18,fence line,NA,NA,100,0,No sign of mouse activity
Wimmera,Bernard Lindsay,BLind,142.480923,-36.183518,2013-03-20,2013-03-21,wheat,stubble,NA,100,0,no sign of mouse activity
Wimmera,Brad Martin,BMart,142.490208,-36.070879,2013-03-20,2013-03-21,wheat,stubble,NA,100,0,No sign of mouse activity
Wimmera,Coree McFarlan,CMcF,142.4042,-36.27795,2013-03-20,2013-03-21,wheat,stubble,NA,100,0,3 burrows marked all inactive
Wimmera,Gavin Pulse,GPuls,142.314913,-36.632039,2013-03-20,2013-03-21,wheat,stubble,NA,100,1,6 burrows marked only 1 active
Wimmera,Glen Hose,GHos,142.421377,-35.893295,2013-03-20,2013-03-21,wheat,stubble,NA,100,0,No sign of mouse activity
Wimmera,Greg Ruwoldt,GRuw,142.356328,-36.515782,2013-03-20,2013-03-21,wheat,stubble,NA,100,0,2 inactive burrows marked. Active burrows identified outside the transect
Wimmera,Kevin Munroe,KMun,142.363359,-35.999789,2013-03-20,2013-03-21,wheat,stubble,NA,100,0,No sign of mouse activity
Wimmera,Mark Johns,MJoh,142.283535,-36.589878,2013-03-20,2013-03-21,wheat,stubble,NA,100,2,4 burrows marked 2 burrows active. Lots of cracks and soil very soft.
Wimmera,Peter Huttig,DHut,142.427022,-35.823004,2013-03-20,2013-03-21,wheat,stubble,NA,100,0,No sign of mouse activity
Wimmera,Rod Armstrong,RArm,142.392226,-36.433918,2013-03-20,2013-03-21,wheat,stubble,NA,100,0,No sign of mouse activity
Wimmera,Trevor Robinson,TRob,142.392802,-36.353017,2013-03-20,2013-03-21,wheat,stubble,NA,100,0,No sign of mouse activity
Moree,Alawah,Alawah,150.076595,-28.978815,2013-04-30,2013-05-01,canola,stubble  (heads harvested),<100 kg/ha,200,0,Steve Henry present 100m transects walked for active burrows
Moree,Bethlee,Bethlee,150.158165,-29.462759,2013-04-30,2013-05-01,sorghum,mature (flowers/heads),>20000 kg/ha,200,0,Steve Henry present 100m transects walked for active burrows
Moree,Boonery,Boonery,149.99117,-29.00356,2013-04-30,2013-05-01,wheat,stubble  (heads harvested),6000 kg/ha,200,0,Steve Henry present 100m transects walked for active burrows
Moree,Calrossie,Calrossie,150.07633,-29.006747,2013-04-30,2013-05-01,canola,stubble  (heads harvested),>100 kg/ha,200,0,Steve Henry present 100m transects walked for active burrows
Moree,Dimboola,Dimboola,150.198886,-29.371752999999998,2013-04-30,2013-05-01,wheat,stubble  (heads harvested),<6000 kg/ha,200,0,Steve Henry present 100m transects walked for active burrows
Moree,Leverton,Leverton,150.029643,-29.183199,2013-04-30,2013-05-01,wheat,stubble  (heads harvested),>6000 kg/ha,200,0,Steve Henry present 100m transects walked for active burrows
Moree,Tycannah,Tycanna,149.846743,-29.612732,2013-04-30,2013-05-01,wheat,stubble  (heads harvested),<100 kg/ha,200,0,Steve Henry present 100m transects walked for active burrows
